,p1GameName,p1Tagline,p2GameName,p2Tagline,winrate
0,dowlucks,kr2,알파카엉덩이는탐스러워,2025,63.63636363636363
1,문힐시티,KR1,KataTopia,도봉KR1,84.61538461538461
2,리그오브양학게임,KR1,그냥 알아서 해라,차단하고함,75.0
3,불타는레몬,7942,똥쟁이 채민기,KR1,66.66666666666666
4,오리너구리 페리,2234,앰 넷,kr4,69.23076923076923
5,제우스,okok,빵굽는 유미,파티시에,50.0
6,GuarDian Tree,KR1,카타의단검,KR1,53.84615384615385
7,여정모,KR1,수능 수학 선생님,공부합시다,84.61538461538461
8,여정모,KR1,울산큐티남허재,KR1,58.333333333333336
9,이천수,Good,H I,KR17,66.66666666666666
10,SCNTST,RUST,Fungиs,13JM,76.0
11,붕어빵꼬리조아해,KR1,야밤의 상탈 러닝 현정환,친추주세요,56.00000000000001
12,이진랑,KR3,Vanilla,KR24,59.25925925925925
13,이온음료,SHD,치치야짖지마,KR2,50.0
14,hale bopp comet,KR1,정글에서살아남기,kr97,50.0
15,달려볼까,KR1,모 망,KR1,62.5
16,라비네,KR1,네이비,Maybe,54.54545454545454
17,눈이잘보임,KR1,MOST CARRY VAYNE,KR1,61.53846153846154
18,놀로노아 김동현,KR1,뭐하노 누나야,KR1,81.81818181818183
19,재란방구,KR1,원시인,7985,61.53846153846154
20,薄 紫,2222,신 정,신 정,66.66666666666666
21,薄 紫,2222,메가 정우,KR2,36.36363636363637
22,LPL AD,3333,단 검,6988,70.0
23,HwanHeeKR,KR1,말 랑,1837,56.666666666666664
24,RED CLOUD,KR1,뮤트 올,광 호,75.0
25,하 루,수 정,여르미,KR1,67.85714285714286
26,포르잔 air teeth,KR1,Rainbow,kr0,64.28571428571429
27,형보수지 찢재명,도련님,오리빵디,KR1,62.5
28,rudco,KR99,아인즈,KR1,27.27272727272727
29,경노까,KR2,몰탄고양임신구속훼재,KR333,56.666666666666664
30,박재윤,박재윤,Xiao pang,CN1,81.81818181818183
31,김유준,T1 06,Hurt,1210,62.06896551724138
32,점화 따가워요,아뜨뜨,네모메몸,EMONG,70.0
33,티아민질산염,KR1,해운대따따PC방,KRΙ,65.21739130434783
34,피해주기,쉽다쉬워,탑갱점,KR1,68.0
35,Sims,KR1,준형의 냥냥이,0419,78.94736842105263
36,명 근손실 ,KR1,렝 가,KR123,73.68421052631578
37,스크류바 먹방남,0821,섹시한곰팡이,KR1,66.66666666666666
38,꼬 마,0523,야채리,0000,61.904761904761905
39,히링야,Poro,뇌비우고겜하는중,KR1,61.904761904761905
40,라 톰,KR1,Taeven king,KR123,38.46153846153847
41,웃고있는 가면,KR1,비가 그치면 ,KR1,41.66666666666667
42,원채령,KR1,미친괴물원숭이,2토끼,68.75
43,맥그리거VS할머니500명,할머니압승,언제나 그랬듯 서있을 거야,좋아해,70.0
44,내가 김동현이다,KR1,곡물빵,맛있어요,53.84615384615385
45,미리죄송요,3912,묵직한 한방,4427,78.94736842105263
46,이승준,1228,WXYXYW,KR1,75.0
47,WXYXYW,KR1,이승준,1228,77.77777777777779
48,WXYXYW,KR1,승 준,2556,66.66666666666666
49,좀 접어라,KR1,내잘못은아닌듯,아무튼아님,66.66666666666666
50,청심정,1111,여 불,KR1,66.66666666666666
51,렝가 원픽,KR1,갱플랭크,청소년,47.61904761904761
52,상식적으로,토도미,토도미,상식이,59.09090909090909
53,모두를줘팰시간,KR1,뒷 돌 갱,KR1,66.66666666666666
54,차하야,구르트,Cola는 Coca콜라,KR1,73.33333333333333
55,의문의혜웨이,cex,kitagawa,ε з,75.0
56,처음만들어본부캐,KR1,애니똥챔인건나도알지만어쩔수없어,KR2,66.66666666666666
57,ADC Taeven,KR11,DE4N,KR1,53.333333333333336
58,ADC Taeven,KR11,안오면나도안함,KR18,81.81818181818183
59,피스타치오버블차,KR1,PaIm,KR1,60.86956521739131
60,εS2з,486,8 8,8 8 8,65.21739130434783
61,우에하라아이,JA1,고창모,KR1,68.75
62,나 비,바 보,lulu,234,56.52173913043478
63,동규형2,KR1,김범륜,0000,63.1578947368421
64,여름아넌너무추웡,KR1,도리도리대마왕,8461,70.0
65,반죽맨,KR1,섹시조커,KR1,62.5
66,소담보담,KR1,새 벽,GOD,63.63636363636363
67,가지맛물감,KR1,aksfjhaskjfhaosa,KR1,76.92307692307693
68,Master prisoner,KR1,음바제,KR1,72.72727272727273
69,권태식돌아왔구나,KR2,왕자를지켜라,KR2,72.72727272727273
70,같이가 멈춰,멈춰 같이,멈춰 같이가,KR1,56.666666666666664
71,멈춰 같이가,KR1,같이가 멈춰,멈춰 같이,56.666666666666664
72,흑 당,혐오자,나한테왜그래,KR222,60.0
73,thgink9z,KR1,뇌가수박이됨,KR1,82.35294117647058
74,괴물쥐,1866,쓰레쉬,HY99,75.0
75,Shin,10 10,뽀송뽀송한모포 ,KR1,80.0
76,이길줄모르는사람,0913,할수있어요서폿님,KR1,60.0
77,애교꾼,KR2,나랑랑이,KR3,90.0
78,이름없는호수,KR1,안죽는미드,KR3,70.0
79,탁구왕이강인,손흥민,즐라탄 이브라히모비치,GOAT,40.0
80,Hmmmm,404,늙은이,1121,65.21739130434783
81,feijidawang,pdx,복숭아,과일이,62.5
82,Warwick King,TPE,DouYu丶牛奶辅助,mkmk,54.54545454545454
83,지 니,정 탈,メンヘラ,kr3,66.66666666666666
84,Hearts2Hearts,214,さくや,りょう,66.66666666666666
85,مرحبا,kr11,29 라스트댄스,1997,58.333333333333336
86,Yuumi,0930,뚱 남,140kg,76.47058823529412
87,저희 곧 결혼해요,KR1,건들지마세요,KR5,77.77777777777779
88,심규제,바 텀,욕하기싫어요,KR33,46.15384615384615
89,사미라징크스제리,KR1,Denty,KR1,70.0
90,김대건1,KR1,애벌레통구이,KR1,84.61538461538461
91,말 랑,1837,HwanHeeKR,KR1,75.0
92,Error,Fatum,송제우,KR1,80.0
93,öッö,öッöヲヲ,야미 동희,KR1,72.72727272727273
94,T1 Clid,민정이,bring bring,KR2,50.0
95,아케보시,KR1,胜不骄 败不馁,zypp,52.94117647058824
96,머리박기,KR1,siin,kr99,63.63636363636363
97,쓰레기무단투기,0629,이상하게 생긴 기린,이생기,75.0
98,어떻게 이별까지 사랑하겠어,악동뮤지션,Hi Hi Z Z,KR1,61.53846153846154
99,꼬마차니,꼬마차니,짐승아메리카노,1리터,64.70588235294117
100,멘트줘봐,KR1,느낌좋고,KR1,72.72727272727273
101,그게 바로 나니까,KR1,롤박사 제도리,KR1,69.23076923076923
102,자몽아간식먹자,0607,Cover JG,6587,82.6086956521739
103,장전리,KR1,AD123,8098,50.0
104,똘 박,9703,연애하자승철아,KR1,66.66666666666666
105,Piungsin,KR1,살려쥬라기,0000,69.23076923076923
106,니달리거대한구멍,KR1,석승환,석승환,70.0
107,김갑환이,KR1,온천 가드맨,12321,71.42857142857143
108,예경누나이쁘다,1215,그릇 도 빛날 빈,KR0,66.66666666666666
109,나는야 이동춘,동춘리,오디세이 조이,KR1,57.14285714285714
110,Iziio,KR2,머리를 콩,KR1,62.5
111,월향량,연습계정,내이름이진우,KR1,83.33333333333334
112,시훈데용,KSH,53456436,KR1,62.06896551724138
113,xoot,KR1,만수무강,0101,65.0
114,1115555414,KR0,Bisu,1120,66.66666666666666
115,오은깃,0708,Coco,SCV,63.63636363636363
116,악어의 노란 우산,장맛비,KOA SOBORU,궁딩이딱대,57.14285714285714
117,아이브 리즈,동민전,rheldqhwl,kr123,66.66666666666666
118,광 어,참이슬,미드게임점,1234,80.0
119,재 구,KING,탑미드하는사람,KR2,65.21739130434783
120,준호는 못 말려요,KR1,MAEUM은 챌린저,KR1,66.66666666666666
121,볼보아이언,KR1,F니깐청춘이다,KR1,60.0
