p1Name,p1Tag,p1Lane,p1KDA,p1KP,p1GPM,p1Vision,p1WinRate,p2Name,p2Tag,p2Lane,p2KDA,p2KP,p2GPM,p2Vision,p2WinRate,totalWinRate
dowlucks,kr2,4,6.88,58.14,435.15,0.86,43.33,알파카엉덩이는탐스러워,2025,2,4.85,49.43,404.90,0.80,49.08,63.64
문힐시티,KR1,4,7.74,56.88,408.43,0.73,44.44,KataTopia,도봉KR1,2,2.68,42.82,366.20,0.91,59.00,84.62
리그오브양학게임,KR1,2,3.63,46.80,380.12,0.94,53.47,그냥 알아서 해라,차단하고함,1,2.80,54.43,375.40,0.72,56.52,75.00
불타는레몬,7942,0,7.05,61.38,372.39,1.87,88.46,똥쟁이 채민기,KR1,0,4.55,54.00,331.73,1.66,57.14,66.67
오리너구리 페리,2234,2,5.91,48.95,405.68,1.06,56.25,앰 넷,kr4,2,3.14,43.25,366.63,0.80,55.06,69.23
제우스,okok,1,4.61,52.00,361.65,1.97,85.71,빵굽는 유미,파티시에,0,8.65,46.67,247.39,1.93,47.66,50.00
GuarDian Tree,KR1,4,3.77,53.25,363.49,1.22,52.38,카타의단검,KR1,2,3.03,52.00,394.79,0.67,52.58,53.85
여정모,KR1,2,3.42,45.38,393.08,1.03,47.30,수능 수학 선생님,공부합시다,2,2.15,48.55,377.39,1.44,55.20,84.62
여정모,KR1,2,3.42,45.38,393.08,1.03,47.30,울산큐티남허재,KR1,2,3.52,50.31,389.09,1.28,42.31,58.33
이천수,Good,4,5.11,50.71,428.93,0.95,33.33,H I,KR17,1,2.70,46.85,417.95,0.67,53.41,66.67
SCNTST,RUST,0,5.34,68.67,324.34,1.43,36.36,Fungиs,13JM,0,6.79,54.75,328.61,2.06,54.72,76.00
붕어빵꼬리조아해,KR1,0,5.79,49.00,262.61,1.96,53.36,야밤의 상탈 러닝 현정환,친추주세요,2,3.64,65.67,444.24,0.65,0.00,56.00
이진랑,KR3,4,6.53,56.15,429.95,0.78,54.29,Vanilla,KR24,1,4.12,62.64,393.65,1.13,80.00,59.26
이온음료,SHD,1,3.00,53.17,377.75,1.17,51.55,치치야짖지마,KR2,0,4.07,57.67,318.64,1.86,53.15,50.00
hale bopp comet,KR1,3,5.29,40.14,445.43,0.73,83.13,정글에서살아남기,kr97,0,4.56,58.56,314.66,2.14,47.51,50.00
달려볼까,KR1,3,3.37,48.73,387.08,0.79,45.95,모 망,KR1,4,3.72,55.30,363.53,1.26,48.09,62.50
라비네,KR1,3,5.06,43.53,371.32,0.90,56.76,네이비,Maybe,0,3.82,51.69,302.22,1.96,36.59,54.55
눈이잘보임,KR1,1,3.30,53.75,402.02,0.89,68.42,MOST CARRY VAYNE,KR1,0,6.61,56.50,311.91,2.30,0.00,61.54
놀로노아 김동현,KR1,0,9.26,59.80,251.17,2.65,55.23,뭐하노 누나야,KR1,1,2.58,41.06,379.65,0.78,61.90,81.82
재란방구,KR1,4,4.59,49.64,404.57,0.55,50.20,원시인,7985,1,4.71,48.40,387.54,1.10,55.65,61.54
薄 紫,2222,1,4.50,50.54,425.77,0.63,53.75,신 정,신 정,0,5.37,45.00,253.76,1.99,50.88,66.67
薄 紫,2222,1,4.50,50.54,425.77,0.63,53.75,메가 정우,KR2,4,3.69,51.50,383.20,0.78,33.33,36.36
LPL AD,3333,1,4.56,50.86,428.03,0.72,49.82,단 검,6988,0,6.55,56.40,281.75,2.21,66.67,70.00
HwanHeeKR,KR1,4,3.44,53.92,399.69,1.03,55.10,말 랑,1837,0,4.63,49.79,385.52,1.13,54.55,56.67
RED CLOUD,KR1,3,3.22,37.40,345.08,0.70,40.74,뮤트 올,광 호,4,5.20,62.08,403.68,1.18,52.94,75.00
하 루,수 정,0,4.32,54.50,271.11,2.62,50.00,여르미,KR1,2,4.52,64.43,430.39,0.77,51.01,67.86
포르잔 air teeth,KR1,3,4.42,52.06,384.24,1.14,83.33,Rainbow,kr0,1,2.13,45.18,402.46,0.43,55.33,64.29
형보수지 찢재명,도련님,2,4.73,50.77,379.42,1.14,63.83,오리빵디,KR1,4,4.72,59.75,436.76,1.06,53.57,62.50
rudco,KR99,1,2.74,41.14,400.83,0.71,52.27,아인즈,KR1,0,5.05,49.33,298.47,2.39,53.38,27.27
경노까,KR2,2,4.62,53.00,398.38,1.03,57.14,몰탄고양임신구속훼재,KR333,3,3.43,39.50,391.55,0.74,53.25,56.67
박재윤,박재윤,1,4.90,41.92,408.42,0.60,51.13,Xiao pang,CN1,2,3.96,41.75,406.23,0.63,59.80,81.82
김유준,T1 06,0,5.85,50.17,270.62,2.17,58.82,Hurt,1210,1,3.89,43.71,368.81,0.75,53.90,62.07
점화 따가워요,아뜨뜨,1,4.15,53.50,419.61,0.52,51.81,네모메몸,EMONG,0,5.08,55.50,250.79,2.14,54.93,70.00
티아민질산염,KR1,1,3.31,54.50,436.82,0.84,45.45,해운대따따PC방,KRΙ,0,6.93,63.50,275.30,1.97,53.93,65.22
피해주기,쉽다쉬워,2,4.35,58.30,413.93,0.86,51.85,탑갱점,KR1,3,2.65,43.17,369.39,0.46,50.57,68.00
Sims,KR1,1,5.39,56.90,434.93,0.75,0.00,준형의 냥냥이,0419,0,8.35,72.33,257.61,2.03,71.11,78.95
